"suffix","n","GEOID"
"Rd",502,"13279"
"Rd",712,"26151"
"Dr",939,"48397"
"St",9211,"26163"
"Ave",341,"27105"
"Pl",549,"27001"
"Ave",90,"38071"
"Rd",738,"37145"
"Ave",169,"20195"
"St",609,"28151"
"St",444,"48133"
"Rd",188,"28055"
"Rd",477,"48123"
"Rd",937,"48005"
"Rd",582,"45081"
"St",61,"29125"
"Rd",440,"05001"
"St",497,"29109"
"St",172,"51540"
"St",1637,"17011"
"Rd",770,"39145"
"Rd",987,"37115"
"Rd",157,"16053"
"Rd",455,"39163"
"Dr",1400,"48309"
"Rd",317,"16037"
"St",224,"19089"
"Dr",4637,"12099"
"Rd",226,"13181"
"Rd",614,"01013"
"Dr",985,"47165"
"Rd",228,"51097"
"Rd",296,"05015"
"Ave",182,"51820"
"St",89,"02220"
"Ave",3751,"41051"
"Rd",437,"47061"
"Dr",553,"27057"
"St",63,"38081"
"Rd",2043,"36089"
"St",69,"29179"
"Way",6333,"06067"
"St",292,"39125"
"St",262,"18179"
"Pkwy",32,"51063"
"Rd",1572,"06083"
"Rd",710,"54005"
"Rd",355,"28009"
"Rd",489,"21055"
"St",325,"19147"
"St",363,"19159"
"Rd",1197,"37151"
"Rd",831,"24015"
"St",175,"18171"
"Ave",153,"31077"
"St",196,"31095"
"St",291,"31151"
"Rd",511,"21119"
"St",578,"19045"
"St",296,"27063"
"St",259,"27039"
"St",548,"27047"
"Rd",998,"06009"
"Rd",4333,"25001"
"Rd",218,"51119"
"Rd",1171,"42065"
"St",2830,"18089"
"Rd",531,"47003"
"Rd",533,"47027"
"St",491,"17029"
"Rd",384,"47097"
"Rd",622,"41001"
"Rd",686,"36097"
"St",934,"26159"
"St",549,"17131"
"Rd",634,"21127"
"Rd",969,"21175"
"Ln",500,"21177"
"St",738,"17049"
"Rd",503,"47105"
"St",183,"46025"
"St",3802,"15003"
"St",276,"12041"
"Dr",870,"18157"
"Rd",1028,"42109"
"St",372,"48277"
"St",8356,"12086"
"Rd",73,"31057"
"St",237,"48289"
"Rd",411,"08097"
"St",433,"38035"
"St",802,"18091"
"Dr",2248,"18057"
"St",114,"51595"
"Rd",1371,"40081"
"Rd",61,"20071"
"Rd",414,"13145"
"Rd",420,"13251"
"St",45,"48433"
"St",314,"39069"
"Rd",2859,"33009"
"Ln",715,"29145"
"Rd",503,"18129"
"Rd",105,"48311"
"St",188,"17035"
"Dr",468,"13297"
"St",420,"27121"
"Ln",563,"51157"
"Rd",584,"51009"
"St",2572,"06111"
"St",658,"17033"
"Rd",1019,"08093"
"Ave",20794,"06037"
"St",1258,"04027"
"Rd",225,"13129"
"St",355,"19025"
"Rd",1416,"12055"
"Ave",91,"51580"
"Rd",1303,"50017"
"St",475,"20113"
"Dr",3860,"04021"
"St",286,"39051"
"St",141,"08003"
"Ct",1116,"12017"
"Rd",520,"47041"
"Rd",948,"42031"
"St",215,"46097"
"St",160,"46073"
"St",262,"18031"
"St",495,"18037"
"Rd",291,"51057"
"Rd",603,"45089"
"Rd",1032,"36031"
"St",244,"19195"
"Rd",670,"40063"
"Rd",1514,"51027"
"Rd",206,"51005"
"Rd",664,"28087"
"Rd",245,"18143"
"St",236,"08099"
"St",109,"48435"
"St",888,"40101"
"Rd",904,"29043"
"Rd",851,"28073"
"St",284,"18137"
"Dr",47,"38057"
"Rd",875,"13147"
"Rd",603,"22049"
"Ln",430,"51133"
"Ln",4144,"48157"
"St",276,"55047"
"Rd",401,"30073"
"Rd",865,"55127"
"Rd",183,"32021"
"Rd",887,"17057"
"Rd",4897,"36103"
"Rd",158,"18161"
"Rd",591,"29119"
"St",376,"31157"
"Rd",497,"35047"
"Dr",572,"01081"
"Dr",806,"48367"
"Ave",85,"38021"
"Ave",114,"38003"
"St",382,"27143"
"Rd",345,"13293"
"Rd",2840,"06097"
"Rd",1295,"26033"
"Dr",765,"16019"
"Dr",403,"13013"
"Rd",329,"13183"
"St",108,"48271"
"Rd",747,"40115"
"Rd",2165,"42033"
"Rd",582,"26037"
"St",799,"17135"
"St",221,"28003"
"Dr",285,"28071"
"Rd",582,"22043"
"St",393,"29005"
"St",910,"17115"
"Rd",672,"26149"
"St",1155,"17055"
"Rd",176,"30033"
"Ave",415,"31001"
"St",61,"27109"
"Ave",1387,"34039"
"Dr",2455,"01097"
"Ave",200,"46087"
"Rd",452,"01057"
"St",290,"01017"
"St",292,"37131"
"St",156,"08081"
"Rd",752,"21087"
"Rd",481,"18047"
"Rd",668,"37013"
"Dr",502,"38015"
"Rd",1053,"37159"
"Rd",567,"26071"
"St",100,"27067"
"Rd",467,"21237"
"Rd",602,"48149"
"Rd",546,"46081"
"Rd",1688,"23029"
"St",41,"48045"
"Rd",346,"26131"
"Rd",203,"28015"
"Dr",453,"41003"
"St",398,"27133"
"Rd",1430,"42063"
"Rd",501,"22061"
"Rd",764,"42099"
"Rd",60,"46137"
"Rd",742,"48203"
"Rd",577,"26013"
"Rd",1318,"40131"
"Dr",1349,"29019"
"Rd",604,"40015"
"St",2975,"08059"
"Rd",976,"54011"
"Rd",167,"48383"
"Rd",674,"05141"
"Rd",457,"08117"
"Rd",741,"20035"
"Rd",373,"05071"
"Rd",552,"36041"
"Rd",196,"51045"
"St",291,"48083"
"Rd",331,"02290"
"Rd",1636,"04017"
"St",191,"28085"
"St",118,"48357"
"St",102,"48103"
"St",204,"56003"
"Rd",740,"47081"
"Rd",279,"28143"
"St",509,"29081"
"Dr",616,"18005"
"Dr",850,"13223"
"Rd",629,"39015"
"Rd",865,"47141"
"St",138,"38101"
"St",5428,"25027"
"St",497,"39091"
"Ave",987,"06031"
"St",6054,"06073"
"Rd",221,"13079"
"St",1578,"29037"
"Rd",2268,"36027"
"Ln",410,"48477"
"Dr",1260,"08101"
"Ave",79,"29067"
"St",126,"38009"
"Dr",2464,"37051"
"Rd",207,"56017"
"Rd",586,"26001"
"Ct",2722,"06061"
"Rd",595,"05129"
"St",97,"48305"
"Rd",1624,"36077"
"Rd",630,"37153"
"Rd",530,"37093"
"Rd",349,"31131"
"Rd",285,"42023"
"Ln",830,"45035"
"St",301,"27161"
"St",251,"46015"
"Rd",665,"47177"
"St",627,"17023"
"Rd",103,"21201"
"Rd",109,"47095"
"Ln",2487,"45015"
"Ln",1146,"05051"
"St",602,"20139"
"Rd",646,"39155"
"St",90,"48333"
"St",99,"48359"
"Ln",1625,"42019"
"Rd",1007,"16049"
"St",529,"20115"
"Rd",323,"51029"
"Dr",761,"37025"
"Rd",538,"29225"
"Dr",824,"49011"
"St",231,"27033"
"St",674,"12093"
"Rd",972,"13291"
"St",850,"19013"
"Dr",429,"48403"
"Rd",489,"39131"
"Dr",1703,"01125"
"Rd",423,"01131"
"Rd",268,"28097"
"Rd",167,"31099"
"St",104,"31087"
"Dr",2453,"10003"
"Rd",306,"16081"
"Ave",1102,"17161"
