"suffix","n","GEOID"
"Ln",1660,"01003"
"St",590,"19007"
"Rd",325,"51127"
"Rd",311,"13263"
"Rd",992,"36049"
"Rd",444,"54015"
"Rd",327,"18077"
"Rd",889,"51019"
"Rd",163,"35033"
"St",399,"31011"
"St",135,"29149"
"Rd",273,"47083"
"Rd",503,"42131"
"Rd",658,"37107"
"St",1273,"18167"
"Dr",1169,"18039"
"Ln",813,"51077"
"St",2515,"48303"
"St",510,"27093"
"St",255,"39005"
"St",365,"31119"
"St",564,"12085"
"Rd",92,"08079"
"Rd",398,"13085"
"Rd",285,"13167"
"Rd",228,"05095"
"Rd",411,"29059"
"Rd",945,"51143"
"Rd",137,"02068"
"St",126,"20145"
"St",2220,"20209"
"St",923,"12029"
"Rd",765,"26157"
"Rd",211,"02240"
"Ave",247,"20065"
"Rd",1125,"22097"
"Rd",1005,"47055"
"Dr",1777,"39095"
"St",779,"05093"
"Dr",574,"18043"
"St",74,"20129"
"Rd",297,"21081"
"Rd",600,"21217"
"Rd",353,"37075"
"Rd",1073,"54045"
"Rd",265,"54073"
"Ln",323,"51071"
"Rd",1231,"54019"
"Rd",1237,"53061"
"Rd",839,"35015"
"Rd",57,"31117"
"St",201,"31145"
"Rd",127,"31149"
"Rd",385,"47085"
"St",457,"17125"
"Rd",490,"51197"
"Rd",404,"13303"
"Rd",1567,"53077"
"Rd",1616,"05143"
"Dr",1013,"48213"
"Rd",597,"55035"
"Rd",441,"47153"
"Rd",609,"48471"
"Rd",1515,"04005"
"St",517,"20191"
"Rd",666,"26127"
"St",280,"27065"
"Rd",604,"39007"
"Rd",115,"06003"
"Dr",1687,"48167"
"Rd",174,"01011"
"Rd",667,"17105"
"Rd",428,"39135"
"Rd",642,"39079"
"Dr",17924,"48201"
"St",7831,"25017"
"St",140,"48115"
"Rd",800,"36069"
"Dr",351,"01001"
"St",610,"20121"
"Rd",465,"13091"
"Rd",700,"36023"
"Rd",445,"13039"
"Dr",1748,"26161"
"St",165,"18087"
"St",399,"48371"
"Rd",253,"13225"
"Dr",669,"13311"
"Rd",379,"13163"
"Ln",1100,"55083"
"St",536,"48347"
"Rd",1420,"44009"
"Rd",1845,"53047"
"Rd",2780,"53063"
"Rd",564,"55041"
"Rd",1207,"55113"
"St",921,"34017"
"St",563,"39151"
"Ln",585,"48187"
"Ln",1136,"53029"
"Ln",669,"54037"
"Ct",2191,"51153"
"Rd",2619,"42029"
"Rd",1202,"54055"
"Rd",836,"47145"
"Rd",1026,"53009"
"Rd",1241,"53065"
"St",425,"19177"
"St",24,"31073"
"Rd",493,"28095"
"Dr",2043,"12033"
"Dr",10200,"48439"
"Ct",2444,"24033"
"Dr",606,"51169"
"St",283,"48239"
"Rd",622,"40085"
"Rd",274,"13289"
"Ave",1203,"39099"
"Rd",315,"01087"
"St",289,"17191"
"St",91,"48437"
"Ln",413,"29151"
"Dr",1744,"17089"
"Rd",1931,"06017"
"Rd",871,"45055"
"Ln",121,"37073"
"St",241,"08089"
"Sp",1597,"41019"
"Rd",1959,"42089"
"Rd",187,"05101"
"St",110,"38019"
"Rd",482,"40103"
"St",117,"20063"
"St",228,"22077"
"St",518,"31067"
"Rd",1022,"01115"
"Rd",566,"28123"
"Ave",437,"13095"
"Rd",137,"18061"
"Rd",1483,"16017"
"Ln",828,"13047"
"Rd",1051,"22059"
"Rd",1348,"23027"
"Ct",1371,"24027"
"Dr",4984,"49035"
"Dr",609,"12087"
"St",626,"39157"
"Rd",4065,"09110"
"Rd",1128,"09120"
"Rd",1853,"09130"
"Rd",1981,"09140"
"Rd",1155,"09150"
"Rd",1793,"09160"
"Rd",2166,"09170"
"Rd",1685,"09180"
"Rd",3602,"09190"
"Ave",1383,"36085"
"Rd",524,"39071"
"Rd",38,"27077"
"Rd",691,"16011"
"Dr",2774,"45045"
"St",306,"46085"
"Rd",688,"55121"
"St",686,"06113"
"St",46,"48431"
"St",158,"48495"
"Rd",159,"46071"
"Rd",451,"49041"
"Rd",97,"51036"
"Rd",670,"01023"
"Rd",742,"18083"
"St",331,"31047"
"Rd",492,"20057"
"St",156,"38105"
"St",233,"38017"
"St",83,"17069"
"Rd",47,"31005"
"St",259,"48163"
"St",597,"19103"
"Rd",312,"20133"
"Rd",807,"21089"
"Rd",499,"20107"
"Rd",285,"49017"
"St",139,"32011"
"St",26,"31085"
"Ave",73,"08095"
"Rd",64,"05013"
"Rd",788,"02090"
"Rd",380,"21101"
"Rd",505,"28051"
"Rd",574,"28105"
"Rd",441,"30027"
"Rd",693,"24023"
"Rd",717,"22119"
"Rd",501,"26059"
"Rd",955,"21141"
"Rd",475,"46033"
"Rd",2316,"33013"
"Rd",2931,"42133"
"Rd",921,"37161"
"St",318,"46005"
"Rd",216,"01043"
"Dr",829,"13097"
"Rd",137,"31097"
"Rd",167,"37187"
"Ave",109,"46075"
"Rd",568,"37007"
"Rd",82,"02100"
"Rd",67,"38007"
"Rd",265,"31003"
"Rd",404,"29073"
"Rd",714,"21031"
"Rd",516,"56005"
"Rd",272,"13211"
"Rd",174,"05037"
"St",248,"05107"
"St",430,"22093"
"Rd",410,"06115"
"Dr",1577,"01117"
"Dr",104,"08091"
"St",365,"35009"
"Rd",581,"40149"
"Rd",1078,"37135"
"St",210,"18131"
"Rd",559,"26019"
"Dr",1970,"36029"
"Ct",2572,"24031"
"Ct",77,"51685"
"St",820,"51013"
"Rd",778,"51035"
"Dr",4007,"29183"
"Rd",360,"06069"
"Ln",633,"24035"
"St",439,"20013"
"Rd",1033,"13031"
"Rd",845,"21071"
"Pvt1",404,"30007"
"Rd",174,"13309"
"Rd",733,"37049"
"St",189,"29087"
"St",110,"48295"
"Rd",632,"41009"
"Rd",1335,"45041"
"St",79,"38061"
"Dr",1350,"49053"
"Rd",326,"30003"
"Rd",898,"42047"
"Rd",259,"31165"
"Rd",502,"28031"
"Rd",383,"18013"
"Dr",721,"18019"
"Rd",218,"21021"
"Rd",523,"21065"
"St",77,"48087"
"Rd",619,"48089"
"St",488,"17063"
"St",252,"27081"
"Rd",364,"13109"
"St",532,"48497"
"Rd",243,"02050"
"Rd",181,"13307"
"Rd",382,"13169"
"Ct",2641,"13135"
"St",927,"55095"
"Rd",478,"55045"
"Rd",1373,"36079"
"Dr",675,"51700"
"St",82,"08011"
"St",359,"40065"
"Rd",594,"30089"
"Rd",31,"48173"
"Rd",396,"05047"
"Rd",394,"40093"
"Dr",1166,"47125"
"Rd",522,"53051"
"St",137,"38055"
"Rd",238,"41027"
"St",293,"19197"
"St",273,"48419"
"Rd",470,"29055"
"Rd",266,"51017"
"Ave",1235,"27111"
"Ln",526,"22075"
"Rd",303,"28115"
"Rd",582,"22067"
"Dr",532,"21029"
"St",281,"01047"
"St",233,"48093"
"Rd",1023,"30053"
"Rd",263,"27021"
"Ct",312,"08007"
"Rd",404,"28163"
"St",1045,"55087"
"St",589,"29107"
"Rd",418,"37195"
"Rd",381,"39117"
"Rd",390,"30039"
"St",49,"38031"
"St",456,"05033"
"Dr",707,"48053"
"Rd",274,"29186"
"St",368,"48179"
"St",824,"17109"
"St",382,"19137"
"St",330,"05067"
"Rd",201,"48229"
"Rd",1460,"22079"
"Rd",882,"31111"
"St",367,"48067"
"Rd",574,"47079"
"St",142,"51840"
"Ln",971,"37061"
"Dr",1402,"37087"
"Ct",1279,"27037"
"Rd",557,"41025"
"Ave",351,"55001"
"St",228,"29045"
"Dr",704,"21015"
"Ln",207,"21229"
"Rd",454,"22009"
"Rd",439,"28137"
"St",137,"29227"
"Rd",275,"31163"
"St",172,"46021"
"Rd",135,"46063"
"Rd",531,"26057"
"St",443,"19175"
"Rd",234,"17127"
"St",26,"31113"
"Rd",280,"31121"
"Rd",308,"31161"
"Rd",100,"21039"
"Rd",859,"56025"
"Rd",438,"13321"
"Rd",631,"18109"
"Rd",1049,"48139"
"Rd",452,"13229"
"St",964,"18053"
"Ln",647,"12035"
"Ln",365,"28077"
"Rd",934,"22127"
"St",1068,"17073"
"St",1087,"41041"
"Rd",2762,"23031"
"St",262,"46029"
"Rd",349,"13231"
"Rd",196,"13259"
"Dr",2231,"34025"
"St",439,"05021"
"Dr",1093,"05045"
"Rd",2148,"40041"
"St",678,"19107"
"St",309,"17061"
"Rd",577,"27075"
"Rd",444,"13285"
"Rd",1943,"06023"
"Rd",881,"47043"
"St",338,"27003"
"St",292,"46009"
"Rd",815,"47059"
"Rd",200,"51183"
"St",1510,"18141"
"St",175,"38067"
"St",32,"46007"
"Rd",1603,"22115"
"Rd",2315,"23019"
"Rd",633,"24041"
"Rd",627,"13257"
"Dr",7980,"06065"
"Ln",895,"05005"
"Rd",162,"28007"
"St",699,"19169"
"St",635,"20011"
"Rd",238,"51049"
"Rd",911,"45085"
"Rd",171,"02164"
"Rd",795,"54109"
"St",5051,"06029"
"St",425,"48097"
"Rd",1314,"45075"
"Rd",265,"55119"
"St",537,"27099"
"St",293,"27101"
"St",4082,"44007"
"Rd",341,"29161"
"St",181,"28117"
"Rd",922,"21235"
"St",309,"18149"
"Dr",2402,"48491"
"St",378,"19131"
"Rd",586,"13107"
"Rd",540,"22025"
"St",683,"42025"
"St",158,"31133"
"Rd",816,"47171"
"Rd",2607,"45083"
"St",1008,"55073"
"St",530,"32007"
"Rd",712,"54007"
"Rd",862,"26165"
"St",90,"48079"
"Ln",1133,"42013"
"St",105,"29085"
"Rd",358,"29009"
"St",1796,"27123"
"St",258,"05081"
"St",413,"32019"
"Ct",3205,"12071"
"Rd",746,"41033"
"Rd",495,"28113"
"Rd",636,"47031"
"Rd",951,"16059"
"Rd",474,"21183"
"St",1665,"31153"
"Rd",628,"13071"
"Ave",242,"27167"
"St",782,"17157"
"Rd",2026,"23011"
"Ln",453,"51173"
"St",158,"35041"
"Rd",1786,"42111"
"Dr",676,"51191"
"Dr",2893,"37081"
"St",3336,"16001"
"Rd",772,"40039"
"St",402,"39101"
"St",873,"17149"
"St",620,"17203"
"Dr",1183,"13245"
"Rd",641,"01107"
"Rd",613,"40045"
"Rd",556,"17145"
"St",309,"19075"
"Ln",232,"08107"
"Rd",1262,"34035"
"Rd",397,"06011"
"Ln",281,"17087"
"St",41,"08053"
"Rd",295,"16031"
"St",52,"27059"
"Dr",1256,"42049"
"Ln",505,"28029"
"St",410,"48467"
"Dr",760,"51161"
"Ln",1252,"51015"
"Rd",73,"02060"
"Rd",134,"49031"
"Rd",181,"21161"
"St",63,"27009"
"St",269,"48129"
"Dr",942,"12005"
"Dr",557,"01077"
"St",423,"18045"
"St",515,"17173"
"St",530,"17051"
"St",435,"39127"
"St",373,"51590"
"Rd",355,"13011"
"Rd",587,"13305"
"St",4667,"40109"
"Rd",457,"40069"
"Rd",1797,"37099"
"Rd",636,"49043"
"Rd",1176,"29167"
"Rd",157,"32015"
"St",400,"19191"
"Rd",240,"21023"
"Rd",489,"55037"
"Rd",360,"54087"
"Ave",255,"27159"
"Ave",195,"51670"
"Dr",1331,"17201"
"Dr",811,"04007"
"Dr",525,"24045"
"Rd",1097,"21043"
"Ln",1816,"37097"
"Rd",383,"51083"
"Rd",284,"37091"
"Rd",676,"36057"
"Ave",101,"27113"
"St",1086,"53073"
"Rd",156,"41021"
"Dr",2627,"34029"
"Ln",476,"05009"
"Rd",1107,"40031"
"St",292,"48253"
"Ln",319,"48185"
"Dr",2316,"26049"
"St",319,"22007"
"St",188,"28013"
"Rd",630,"28041"
"St",175,"30017"
"St",321,"46109"
"Rd",697,"17141"
"St",100,"38077"
"St",1324,"55005"
"Rd",556,"55051"
"St",472,"27157"
"Rd",316,"06015"
"Rd",464,"40127"
"Rd",1795,"53007"
"Rd",453,"26141"
"St",1752,"40027"
"Rd",2473,"36105"
"Ln",487,"37149"
"Rd",398,"37165"
"Ln",1245,"37085"
"Dr",418,"37105"
"St",227,"18159"
"Rd",251,"20027"
"Ave",1114,"40145"
"St",54,"30083"
"Rd",393,"05003"
"St",308,"05041"
"Rd",392,"47135"
"Dr",365,"27163"
"St",429,"51740"
"Rd",2036,"42051"
"Rd",256,"54023"
"Rd",579,"51171"
"Rd",139,"48235"
"Dr",294,"29025"
"St",1184,"12107"
"Rd",361,"18025"
"St",513,"29111"
"Ln",65,"31075"
"Rd",167,"16071"
"St",359,"17139"
"Rd",553,"21107"
"Rd",459,"16035"
"Rd",1084,"21013"
"Rd",1043,"27035"
"Rd",422,"04009"
"St",231,"05123"
"Rd",229,"13101"
"Rd",125,"02070"
"Rd",113,"20105"
"Rd",374,"20183"
"Rd",396,"12065"
"Rd",355,"28005"
"Rd",479,"05097"
"St",822,"26025"
"St",108,"01029"
"St",1538,"08123"
"Rd",492,"40009"
"Rd",853,"06049"
"St",2840,"19153"
"Rd",488,"13179"
"St",531,"48349"
"St",150,"48047"
"Dr",1342,"47187"
"Rd",830,"56021"
"St",143,"53003"
"St",156,"27155"
"Rd",385,"17017"
"Dr",106,"13247"
"Rd",656,"42067"
"Rd",639,"42083"
"Rd",782,"40049"
"St",190,"31021"
"St",457,"35045"
"Rd",433,"36073"
"Rd",718,"22031"
"Ave",10996,"06019"
"Rd",427,"13105"
"Rd",522,"01005"
"Rd",608,"37017"
"St",120,"48111"
"St",1370,"17167"
"Rd",911,"40035"
"Rd",842,"47035"
"Rd",506,"26137"
"St",427,"19161"
"Rd",263,"49015"
"Rd",878,"53019"
"Rd",83,"30109"
"Rd",601,"35027"
"Rd",1577,"40021"
"St",250,"27173"
"St",749,"48231"
"St",219,"48335"
"St",429,"48499"
"Rd",756,"40113"
"Rd",1169,"37039"
"Ave",479,"26107"
"Rd",965,"21195"
"Rd",427,"12067"
"Dr",1043,"37035"
"Rd",563,"21025"
"Ln",25,"48075"
"St",125,"29181"
"St",1221,"17179"
"Rd",156,"48243"
"St",69,"51678"
"Rd",541,"05135"
"Dr",2764,"08069"
"Rd",112,"37177"
"Ave",395,"27131"
"Dr",687,"29219"
"Rd",594,"21227"
"St",1667,"22017"
"St",115,"46121"
"St",565,"19127"
"Rd",326,"40141"
"Rd",1940,"37113"
"Rd",652,"54063"
"Rd",337,"18155"
"Rd",282,"21105"
"Rd",729,"01061"
"St",1653,"17099"
"St",560,"19055"
"St",254,"20127"
"St",505,"19051"
"Rd",677,"16015"
"Ave",747,"55081"
"Rd",151,"37143"
"St",149,"12047"
"Dr",1742,"02170"
"St",778,"18035"
"St",897,"12075"
"St",926,"28045"
"Rd",309,"13315"
"Rd",302,"22081"
"Ln",2719,"47093"
"Rd",2421,"23017"
"St",5482,"29095"
"Rd",536,"13281"
"St",84,"28129"
"St",173,"16075"
"Rd",465,"16079"
"Rd",185,"37095"
"St",300,"19067"
"Dr",488,"21145"
"Rd",378,"21225"
"St",284,"46125"
"Way",972,"47029"
"Rd",471,"47067"
"Ln",641,"47071"
"Rd",740,"45067"
"Rd",1307,"22117"
"St",515,"29207"
"Rd",395,"13093"
"St",923,"27145"
"St",469,"31155"
"St",553,"27141"
"St",288,"46035"
"Ln",687,"47025"
"Rd",650,"48337"
"St",405,"48049"
"Dr",835,"55101"
"Rd",718,"55115"
"St",247,"19009"
"St",133,"48207"
"Rd",872,"40083"
"Rd",1961,"36065"
"St",101,"08065"
"Rd",1439,"40121"
"Rd",340,"54017"
"Rd",186,"54105"
"Rd",2288,"33003"
"Rd",273,"54095"
"St",431,"27079"
"Rd",407,"53017"
"Rd",1660,"36009"
"Rd",936,"55027"
"St",495,"19105"
"Rd",312,"20007"
"Ln",466,"29169"
"St",442,"01045"
"Ave",59,"20109"
"Rd",651,"06039"
"St",485,"29075"
"Rd",54,"31009"
"Rd",235,"49009"
"Rd",478,"56031"
"Dr",1757,"37071"
"Rd",279,"35019"
"Rd",135,"30037"
"Dr",1319,"37101"
"Ct",6082,"06085"
"Rd",2674,"45019"
"St",1166,"53005"
"St",373,"29001"
"St",445,"39043"
"Rd",1424,"17183"
"Dr",8281,"29189"
"Dr",245,"17007"
"Rd",822,"06103"
"Rd",2223,"55025"
"St",115,"48151"
"Rd",789,"22085"
"Rd",594,"17137"
"Rd",308,"13235"
"Rd",257,"37015"
"Rd",735,"37167"
"Ln",633,"47143"
"Rd",243,"37079"
"Rd",555,"21131"
"Rd",403,"24039"
"St",328,"17123"
"Rd",357,"21143"
"St",116,"48095"
"Rd",226,"48081"
"Ln",587,"47133"
"Rd",551,"26063"
"Rd",804,"26069"
"Rd",962,"13069"
"St",494,"13299"
"Ave",51,"38037"
"St",1954,"22051"
"Rd",1834,"22103"
"St",524,"19083"
"Rd",413,"22023"
"Rd",327,"39027"
"Rd",3326,"27137"
"Dr",1100,"39093"
"St",531,"19015"
"Rd",978,"48373"
"Ave",244,"31051"
"Ct",1581,"24025"
"Rd",354,"45037"
"Ln",608,"51001"
"Rd",343,"55015"
"Rd",856,"21121"
"St",586,"26067"
"Dr",1346,"37129"
"Rd",754,"47131"
"Dr",635,"21035"
"Ln",929,"51003"
"Rd",707,"47147"
"Ln",472,"51043"
"Rd",166,"53023"
"Rd",661,"21109"
"Rd",350,"27031"
"Dr",2721,"45073"
"Dr",2742,"22033"
"Rd",268,"28021"
"Ln",1208,"24037"
"Dr",680,"26081"
"Dr",1027,"37147"
"Rd",619,"30009"
"Rd",166,"31167"
"Rd",689,"13001"
"St",461,"19099"
"Dr",512,"28153"
"St",60,"48101"
"Rd",143,"51081"
"Dr",3366,"12105"
"Rd",406,"48503"
"Rd",1074,"01123"
"Rd",2931,"33015"
"Rd",177,"08105"
"St",348,"19149"
"Rd",657,"36123"
"St",11919,"53033"
"Rd",1314,"41017"
"St",987,"19155"
"Rd",411,"29229"
"Rd",307,"30101"
"Rd",890,"36107"
"St",197,"48287"
"Dr",2085,"13121"
"St",526,"48073"
"St",406,"29007"
"Ln",842,"45029"
"St",593,"55055"
"Rd",435,"05055"
"St",191,"48191"
"Rd",883,"55013"
"Rd",674,"35057"
"St",516,"53049"
"Rd",573,"37141"
"Ct",1124,"48221"
"St",81,"46117"
"Ct",2656,"32031"
"Rd",280,"21007"
"Rd",261,"48009"
"Rd",169,"48023"
"St",124,"48405"
"Rd",158,"32029"
"Rd",143,"13249"
"Ln",211,"48313"
"Ct",2131,"06077"
"Rd",594,"28159"
"Rd",307,"21103"
"Rd",233,"21167"
"Ave",88,"31183"
"Rd",416,"21135"
"St",283,"27051"
"Rd",388,"28053"
"Rd",787,"01025"
"Rd",293,"20017"
"Rd",566,"21221"
"Rd",886,"01069"
"St",290,"46003"
"Rd",76,"02013"
"Rd",357,"31061"
"Rd",411,"24029"
"St",982,"20037"
"St",136,"27023"
"Rd",879,"46103"
"Rd",485,"45049"
"Rd",478,"16043"
"Rd",393,"13029"
"Rd",310,"51053"
"St",1243,"12111"
"Dr",2499,"36055"
"St",600,"46083"
"St",1434,"55017"
"Rd",378,"20207"
"Rd",631,"21157"
"Rd",345,"13065"
"Dr",630,"13185"
"St",19,"15005"
"Rd",605,"15007"
"Dr",5336,"26099"
"Rd",264,"13287"
"St",473,"17079"
"St",404,"48331"
"St",269,"18147"
"Rd",574,"21099"
"Rd",477,"21137"
"Rd",462,"30005"
"Ave",877,"51710"
"St",310,"48389"
"Rd",354,"51155"
"Dr",1218,"37179"
"Rd",262,"38053"
"Dr",1201,"12091"
"Ct",3713,"06001"
"Rd",181,"17013"
"St",811,"18085"
"Rd",370,"28103"
"St",162,"05147"
"Ave",1520,"34015"
"Rd",3226,"33011"
"Rd",426,"30045"
"Rd",521,"37121"
"Rd",498,"30077"
"St",414,"41053"
"Rd",850,"41065"
"Rd",151,"46105"
"St",419,"19173"
"Rd",978,"01129"
"Rd",326,"39039"
"Rd",977,"54025"
"St",727,"17121"
"Rd",401,"51051"
"Ln",174,"51007"
"Rd",234,"13243"
"Rd",738,"35029"
"Dr",2357,"48355"
"Rd",209,"56045"
"St",693,"17187"
"Dr",1583,"01089"
"Dr",783,"47189"
"St",95,"48063"
"Rd",344,"40067"
"Rd",346,"54085"
"St",620,"19145"
"St",536,"20087"
"St",805,"22045"
"St",108,"02158"
"Ct",991,"37133"
"St",471,"27043"
"Rd",460,"47057"
"St",240,"48161"
"Ln",869,"42087"
"Rd",584,"01041"
"St",177,"51520"
"St",278,"48399"
"Rd",148,"48443"
"St",57,"20153"
"St",132,"20193"
"Rd",485,"13161"
"St",340,"19035"
"Rd",964,"05145"
"St",324,"28083"
"St",192,"29053"
"Rd",472,"26043"
"Dr",3205,"17197"
"St",168,"48117"
"St",348,"46011"
"St",2649,"29047"
"Rd",370,"28027"
"St",338,"18011"
"St",672,"19057"
"St",1553,"19163"
"Rd",445,"20143"
"Rd",877,"12023"
"Rd",461,"12059"
"Dr",1402,"28047"
"Dr",359,"47011"
"Rd",722,"27017"
"Rd",304,"48315"
"Rd",1186,"36095"
"Rd",800,"40117"
"Rd",1345,"36007"
"St",550,"48291"
"Rd",807,"39009"
"St",646,"39081"
"Rd",483,"54083"
"St",757,"54049"
"Rd",651,"34011"
"Rd",1576,"06057"
"Rd",1380,"55031"
"Rd",1589,"21199"
"Ln",516,"37065"
"St",276,"48241"
"St",167,"49001"
"Rd",419,"13213"
"St",358,"18075"
"Rd",1118,"26117"
"Rd",1503,"36083"
"Dr",1249,"12021"
"Rd",1196,"35031"
"Rd",379,"13017"
"St",129,"05077"
"Rd",638,"12003"
"Rd",254,"13173"
"St",207,"20159"
"St",929,"01015"
"Rd",1042,"28059"
"Dr",340,"21037"
"Rd",648,"21057"
"Rd",652,"28107"
"St",81,"48195"
"Rd",407,"48071"
"Rd",118,"13239"
"Rd",809,"48199"
"St",471,"39143"
"Rd",1311,"23021"
"Rd",227,"17153"
"Rd",519,"40107"
"St",1232,"26145"
"Rd",387,"35039"
"Rd",940,"50005"
"Rd",404,"51023"
"St",1899,"17119"
"Dr",7507,"48085"
"Rd",506,"45001"
"St",474,"31053"
"Dr",2522,"12115"
"St",189,"55077"
"Dr",3639,"04015"
"Rd",3087,"04025"
"Dr",2570,"45051"
"Rd",3752,"42091"
"Rd",229,"16061"
"Rd",15,"51720"
"Rd",2660,"34027"
"Rd",338,"29211"
"Rd",372,"20135"
"Dr",1996,"48039"
"St",302,"51790"
"Ave",160,"31029"
"Dr",2497,"39113"
"Rd",120,"48447"
"Rd",393,"13221"
"Rd",518,"05029"
"St",896,"29147"
"St",80,"38073"
"Rd",729,"26017"
"Dr",4411,"47157"
"Rd",1356,"06007"
"Rd",954,"27115"
"Rd",618,"48021"
"Rd",960,"53039"
"Ln",663,"53055"
"Ct",920,"55009"
"Rd",553,"20205"
"Rd",1067,"22069"
"St",884,"22109"
"Rd",344,"13155"
"St",131,"02185"
"Rd",506,"26011"
"St",572,"19111"
"Ave",255,"20141"
"Rd",586,"26047"
"St",366,"19071"
"Rd",1767,"23015"
"Rd",518,"36099"
"Rd",1366,"21125"
"Ln",253,"47121"
"Rd",899,"29213"
"Rd",399,"13269"
"St",71,"51830"
"St",218,"48415"
"Rd",282,"08047"
"St",625,"40087"
"Rd",368,"54071"
"Rd",524,"51139"
"Rd",383,"13133"
"Rd",48,"46017"
"St",84,"46095"
"St",939,"53027"
"Dr",992,"54003"
"Dr",5002,"48121"
"Rd",840,"45021"
"Rd",758,"37199"
"St",337,"48387"
"Rd",505,"48321"
"St",252,"27149"
"Rd",203,"13301"
"Rd",228,"48197"
"Rd",379,"17133"
"Rd",354,"13165"
"Rd",847,"21085"
"Rd",487,"48363"
"Rd",306,"13149"
"St",148,"01079"
"Rd",543,"28093"
"St",123,"20025"
"Ave",54,"20081"
"Rd",690,"22013"
"Rd",650,"13295"
"St",439,"19095"
"Rd",548,"31019"
"St",59,"40007"
"St",519,"19023"
"St",111,"30085"
"Rd",849,"53015"
"St",158,"48297"
"Rd",365,"29135"
"Rd",275,"51193"
"Rd",758,"37197"
"Ct",1198,"06047"
"Rd",465,"40043"
"Rd",753,"37023"
"Dr",895,"37191"
"Rd",600,"42123"
"Pvt",771,"05061"
"Ln",522,"37059"
"Dr",1246,"37111"
"Rd",347,"05099"
"St",226,"08125"
"St",73,"48421"
"St",318,"48463"
"St",453,"39011"
"Rd",648,"22015"
"St",263,"19063"
"Rd",533,"20169"
"Rd",921,"21153"
"St",73,"48017"
"Dr",390,"29027"
"Rd",700,"56001"
"Rd",476,"56029"
"Rd",344,"42093"
"St",2695,"36081"
"Rd",606,"12121"
"Rd",934,"26031"
"Rd",549,"26051"
"Dr",200,"21173"
"Rd",898,"45057"
"Rd",400,"21123"
"St",1332,"19193"
"Rd",674,"12123"
"Rd",254,"17003"
"Dr",3193,"29099"
"Dr",692,"29113"
"St",1224,"13051"
"Ln",208,"12125"
"Rd",591,"36037"
"St",348,"19041"
"Rd",84,"30025"
"St",261,"46107"
"Rd",162,"48109"
"Rd",3868,"23005"
"St",353,"48013"
"St",379,"20095"
"Ln",1204,"13241"
"Rd",505,"54097"
"Rd",424,"29215"
"Dr",2528,"05119"
"St",433,"19047"
"Rd",579,"16005"
"Dr",639,"39055"
"Ave",2870,"06107"
"Rd",925,"36117"
"Ln",1168,"51163"
"St",70,"38095"
"Rd",3451,"42045"
"St",826,"36063"
"Rd",1107,"50003"
"Ct",957,"12019"
"Dr",6142,"37183"
"Dr",2470,"39061"
"Ave",2797,"34003"
"Rd",354,"32017"
"Rd",209,"02180"
"Rd",175,"30055"
"St",424,"19019"
"Ct",3368,"17043"
"Rd",368,"46047"
"St",166,"27069"
"Rd",346,"13219"
"Dr",310,"48493"
"St",229,"31059"
"Rd",473,"12079"
"St",516,"18153"
"Rd",425,"04012"
"Rd",370,"13027"
"Rd",100,"02016"
"St",95,"02150"
"St",197,"20185"
"Rd",258,"13271"
"Dr",765,"26115"
"St",388,"18181"
"St",490,"18113"
"Rd",407,"21139"
"Rd",242,"13201"
"Rd",640,"47103"
"Rd",307,"21211"
"St",209,"31185"
"Rd",798,"42001"
"Rd",298,"45005"
"Dr",2914,"47037"
"Rd",667,"49047"
"St",5352,"49049"
"St",474,"18021"
"St",1474,"36047"
"Rd",1040,"29141"
"St",207,"39075"
"St",174,"19143"
"St",175,"18079"
"Rd",382,"16083"
"Rd",559,"17165"
"St",1360,"26077"
"Rd",481,"45061"
"Rd",307,"56019"
"St",361,"18027"
"Dr",776,"26055"
"Rd",724,"22003"
"Ave",285,"46065"
"St",149,"46069"
"Rd",699,"45027"
"Rd",497,"30095"
"Rd",680,"47007"
"Rd",446,"21219"
"Rd",687,"47183"
"St",2011,"29077"
"St",3731,"42077"
"St",269,"31159"
"Rd",668,"36015"
"Rd",594,"36121"
"Ct",1967,"06099"
"St",2125,"42095"
"Rd",837,"01103"
"Rd",879,"21027"
"Rd",529,"28043"
"Rd",312,"21213"
"Rd",217,"50013"
"St",941,"39029"
"Ln",566,"51125"
"Ct",1208,"12097"
"St",154,"05053"
"Rd",761,"13175"
"St",763,"36061"
"Ln",2768,"05007"
"St",2712,"12083"
"Rd",314,"51135"
"Rd",833,"34041"
"Rd",1485,"36021"
"St",260,"51690"
"Rd",716,"40023"
"St",466,"20041"
"St",936,"48427"
"Dr",452,"13103"
"Rd",536,"40129"
"Ln",636,"55103"
"St",770,"35025"
"Rd",601,"01075"
"Rd",547,"47117"
"Ln",253,"51011"
"Rd",82,"05087"
"Rd",408,"56033"
"Dr",1395,"42041"
"Rd",1205,"42055"
"St",3167,"42079"
"Rd",653,"26039"
"Rd",498,"01113"
"Rd",224,"39019"
"Ln",292,"51065"
"Ct",2788,"17097"
"Rd",639,"13195"
"St",184,"05039"
"St",33,"08057"
"St",146,"08063"
"Rd",437,"16073"
"St",583,"55141"
"Rd",1269,"36013"
"Dr",2862,"13067"
"Rd",498,"47091"
"Rd",1021,"39013"
"Rd",1081,"51195"
"St",103,"29035"
"Rd",1193,"40013"
"St",267,"31035"
"Pl",1563,"24017"
"St",385,"19033"
"St",410,"19073"
"Rd",638,"21205"
"Rd",351,"49055"
